,clean_text,sentiment
9079,ok dah ini mah ,positive
9080,good product thx to ramayana n flash sale,positive
9081,standard aja namanya juga flash sale yaaaa ukuran uda tapi kayak ,positive
9082,ukuran amp warna sesuai deskripsi pengiriman cepat,positive
9083,tx pas banget barang bagus harga murah next ada flash beli lagi,positive
9084,produk sesuai dan kualitas oke pengiriman juga cepat,positive
9085,produk sesuai deskripsi cm agak kekecilan buat sy krn tnyata karetnya tidak bs melar panjang respon dan proses penjual okelah ,positive
9086,lumayan bagus untuk harga segitu,positive
9087,packing rapi dan barang kualutas nya bagus,positive
9088,terima kasih brg sdh diterima dg baik ,positive
9089,barang sesuai pesanan barang diterima dengan baik,positive
9090,produk bagus dan baik pack rapi ,positive
9091,barang sesuai dgn pesanan packing bagus tp sayangnya kualitas baramgnya yg gk gitu bagus,positive
9092,recomended seller barang oke,positive
9093,sesuai diskripsi beli diflash sale lebih murah proses seler agak lama,positive
9094,beli pas flash sale lumayan menguntungkan barang sdh sampai trmksh,positive
9095,sesuai dengan gambar tapi cup nya kebesaran ,positive
9096,produk bagus pengiriman tepat waktu kemasan cukup rapi ,positive
9097,product sesuai pengiriman cepet,positive
9098,saya senang paket sampai dengan rapi sesuai deskripsi ,positive
9099,pesanan sudah diterima trimz ,positive
9100,pengiriman lamaaaa ,negative
9101,oke banget ,positive
9102,sudah terima makasih sesuai,positive
9103,korset rajut isi sesuai deskripsi warnanya bagus pengepakan rapi,positive
9104,barang sesuai foto dan warna sesuai dengan pesanan saya terimakasih,positive
9105,barangnya seperti di foto good pengirimannya lumayan cepat tapi sayang kekecilan keknya dipake istri salah ambil ukuran ,positive
9106,sesuai gambar packing rapi terima kasih,positive
9107,sesuai pesanan bagus pengiriman super cepat makasiiiihhh,positive
9108,proses pengiriman barang cepat ,positive
9109,paket sudah diterima dengan baik dan sesuai pesanan ,positive
9110,barang sudah diterima dgn baik thanks ,positive
9111,barang sdh sampai bagus trimakasih ,positive
9112,mantaaaaaaaaaaaaaaap,positive
9113,bagus barang nya thx ,positive
9114,barang sudah sampai sesuai pesanan terima kasih,positive
9115,tkss yaaaaaaa ,positive
9116,barang sesuai pesanan murah karena flash sale dan cepat sampai,positive
9117,respon ok produk original,positive
9118,bagus tetapi aku kurang suka bahannya ya,negative
9119,bagus sekalii bahannya dan enak dipakenya,positive
9120,nggak perlu dijelasin belanja pakaian di ramayana pasti barangnya keren² bahannya bagus harganya bersahabat nggak perlu panas²an ke matahari buat beli pakaian keren cukup di ramayana x tokopedia,positive
9121,pengiriman cepat bahannya bagus adem,positive
9122,produknya bagus dan harga bersahabat jadi lebaran deh nih,positive
9123,bagus sesuai deskripsi tapi size m kecil ya,positive
9124,terima kasih gan barangnya sesuai pesanan,positive
9125,mantap pokonya sesuai gambar dan pas banget ukuran m order lagi nanti trimakasih ,positive
9126,nyaman dipakenya transparan juga,positive
9127,baguuuuuss kya gel gtu nyaman dpake,positive
9128,celananya bagus bahannya bagus ket lp tp aku aja kegedean huhuhu belum bisa dipake,positive
9129,udah x beli di sini hasilnya mantapp ,positive
9130,pengiriman sangat cepat,positive
9131,sesuai pesanan nyaman dipake thanks,positive
9132,udah berkali beli baletwood tapi yg warna hitam beda bgt sama yg pink dan cream yg hitam keras kaku gak nyaman dipake kecewa sama kualitas baletwood yg hitam tidak sebagus yg pink dan cream tau gitu beli yg cream lagi aja,negative
9133,ini sepatu kedua aku dan seperti pembelian sebelumnya aku puas banget sebelumnya aku beli yang warna pink dan waktu dipake jalan ke mall banyak mata yang ngeliatin sepatu aku wkwkwkwk jadinya beli lagi yang hitam dan memang juga bagus banget ,positive
9134,bagus bgt pas muat makasihh,positive
9135,puas bagus banget ud punya yg wrn pink beli ini lg,positive
9136,suka bangeetttt sama sepatunya,positive
9137,sepatunya bagus sukaa ,positive
9138,barangny bagus empuk n size nya pas untuk ukuran kakiku yg kecil ,positive
9139,goood kiriman barang cepat,positive
9140,barangnya bagus tapi pengiriman rada lambat tq,positive
9141,baru pertama kali beli di alivelovearts jujur puas banget sepatunya pas dikaki dapet kalender mini lucu babget kalo misalnya awet pengen order lagi ,positive
9142,rapih sangat bagus mudahan awet thx,positive
9143,bagus sepatu nya makasih ,positive
9144,sesuai dengan yg di foto keren,positive
9145,insole kaki sy cm tp pas bgt di size pesan td sing sore udah terima sepatunya bagus bgt sesuai harapan sy mksh ya gan ,positive
9146,respon baik brg bgus nyaman dipakai smga awet,positive
9147,bagus sih cm sayang bagian depan ada garis ga rata kaya segitiga mungkin karna diskon ,negative
9148,kedua kalinya pesen bagus bgt dan passsss recomend bgttt seller nya jg ramah bgttttt,positive
9149,ga pernah kecewa thx ,positive
9150,bagus barangnya sesuai harga,positive
9151,speechless bagus banget dah poko e,positive
9152,design nya bagus dan kualitas juga bagus sayang kekecilan ukurannya padahal tapi sepertinya dibuat lebih kecil jadi gak kepake ,positive
9153,bahan sepatunya ringan dan enak dipakai dikemas dengan rapi dan baik recommended dah pokoke ,positive
9154,bagus baru pertama kali beli tapi sdh pernah liat barangnya dari rekomendasi teman,positive
9155,barang yg tiba sesuai dengan foto respon penjual baik pengiriman cepat mantap pokoknya tokonya recomend buat belanja di sini ,positive
9156,sepatunya cucok gak sakit gak pegel pokoknya nyaman di kaki ukurannya pun sesuai,positive
9157,barang cepet sampe sesuai dengan foto suka banget,positive
9158,baru pertama beli di alive alhamdulillah size nya pas sepatunya juga enakeun kayaknya ga bakalan bikin pegel kalo dipake lama lama,positive
9159,dikirimnya agak lama tapi pas dtg lgsg coba pas bgt dipake dan nyaman bakal ngintip koleksiny mlu nih he,positive
9160,admin respon cepat sepatu nya lucuk bagus enak dipake sesuai dengan harapan ,positive
9161,sesuai gambar harga terjangkau,positive
9162,makasih sis barang sesuai sepatunya ringan dan empuk,positive
9163,produk sangat sesuai dengan gambar detailnya rapih puaas sekali cantik sepatunya didukung dengan pengiriman gojek jadi bisa di hari yg sama bisa sampai sangat puas sekali belanja disini terima kasih ,positive
9164,sudah sampai pas dikaki empuk suka,positive
9165,sepatunya bagus sekali sesuai katalog dan nyaman banget packing nya apik barang diperlakukan dengan sangat layak semoga alive semakin banyak pilihan model sepatu nya supaya saya semakin rajin jajan disini lt ,positive
9166,pembelian ke tetep suka ,positive
9167,pas banget nyaman dipakenya sukaaa,positive
9168,pelayanan ok sepatunya aweet,positive
9169,ukuran pas enak dipake produk sesuai gambar mudahan tahan lama,positive
9170,good seller n good service thk u sell,positive
9171,barang sdh diterima terima kasih ,positive
9172,thank you for the lovely shoes super empuk dan cantik terima kasih ,positive
9173,sizenya aga kecil tp product oke,positive
9174,enak dipake ga pegel csny ramah pelayanan cepet bakal order lg ,positive
9175,bagusss nyaman di pakenya ,positive
9176,brg sesuai foto bagus ok,positive
9177,maaf aplikasi off kmren sepatu by bagus ternyata kebesaran ukurannya tp puas sama brgny terima kasih,positive
9178,sempet kecewa dengan pengirimannya tapi langsung jatuh cinta begitu liat sepatunya bagus banget thanks yaa,positive
9179,respon cepat produknya berkualitas sepatunya enteng dan pas banget di kaki pasti beli lagi ,positive
9180,packagingnya terniat sih love bangett enak dipakai ringan dan ukurannya pas,positive
9181,sukaaa banget sm shoes nyaa barang sesuai gambar cepet sampe sepatunya empuk gak buat lecet gak buat pegel top markotop deh next i will be ordered again recommended store for shoes ,positive
9182,woke keren sippppppppppp,positive
9183,barangnya sampai cepat bgt baru kmren pesen besokannya udh dtg pelayanannya cepat bgt barang sesuai gambar dan bagus semoga awet ,positive
9184,good quality and comfortable to wear i like it ,positive
9185,wedgesnya bagus produk rapih banget nyaman dipakai karena ringan sesuai deskripsi dus wedgesnya keren lucu packingnya oke sekali recommended terima kasih ya kak ,positive
9186,bagus banget kualitas checkout kemarin sore ini udah sampai warbiasaaah ,positive
9187,pengiriman cepat produk sesuai gambar dan original harga murah tapi ga murahan recommended bgt seller juga ramah sukses terus alivelove arts,positive
9188,bagus bangettttttt pengiriman cepat ,positive
9189,pngiriman cepat brg oke n sellernya jujur ,positive
9190,puas banget sepatunya baguuusss,positive
9191,gak nyesel bagus banget sepatunya ditambah adminnya ramah banget dibantu untuk sesuaikan ukuran kaki kita biar gak kesempitan maupun kegedean ,positive
9192,packagingnya rapi dikirimnya cepat dan barang sesuai deskripsi thankyouuuu ,positive
9193,ini udah koleksi sepatu alive yang ke amp dan pasti akan terus nambah bahkan repurchase secinta itu sama alive ,positive
9194,sukaaaaaakkk thankyouuu,positive
9195,barang sudah diterima thankyou,positive
9196,pembelian sepatu yg kskian kalinya sll puas sll bagus thank you buat promonya ,positive
9197,produk original respon penjual baik barang mantul koleksi ke ku,positive
9198,sukak sm sepatunya thanks alivelovearts ,positive
9199,seneng terus lah pokok nya,positive
9200,ga pernah nyesel beli sepatu disini udah beli pasang hee ,positive
9201,cantiiiikkk selalu puas sama produk y alive mau tas or sepatu y ga pernah nyesel beli ,positive
9202,pas bangett sesuai dengan gambar dipakai enak ,positive
9203,sepatu nya bagus pengiriman cepat barang aga kegedean karna size yg di minta sdh hbs tp semua bagus,positive
9204,sepatu impian sesuai keinginan puas pokoknya ,positive
9205,gak nyesel bli di sini sempet galau ama ukuran sepatunya tp ternyata pas berkat saran si admin ,positive
9206,selalu puas belanja di alivelovearts barang bagus pengiriman sangat cepat mimin alova nya juga ramah bgt walaupun kita nanya terus tetap dilayani ,positive
9207,sepatu alive itu ada size gede dan sepatunya beneran awet parah ini adalah sepatu termanis dari koleksi alive yg q miliki packing selalu aman qc nya juga bagus mau di platform manapun layanan alive selalu cepat memuaskan dan selalu membantu thank you so much bakal nambah lagi nih kayanya koleksi alive q hehehe ,positive
9208,always happy pake sepatunyaaaaaaaaaa,positive
9209,respon sangat baik ramah barang sesuai gambar bagus dapat free sepatu cantik lagi puas banget moga sukses terus,positive
9210,brg sesuai fhoto bagusss sznya passs,positive
9211,terima kasih pesanan custom diterima dengan baik,positive
9212,barang sudah diterima makasiiiihhh,positive
9213,barang sesuai gambar kualitas ok dan gak buat pegel,positive
9214,sepatunya bagus sesuai dengan gambar bahannya lembut,positive
9215,pakentnya udh nyampe packing super rapih sepatunya bagus pas dikaki sya kak terimakasih,positive
9216,produk sesuai deskripsi trims,positive
9217,bagus nyaman dipakai sesuai foto dan deskripsi produk ,positive
9218,alhamdulillah sesuai dengan deskripsina suka banget model sepatu yg memang lg dicari recommended pokokna ,positive
9219,model ukuran dan warna sesuai dengan deskripsi produk yg dijual paketnya rapi cepat sampai ga nyesel beli produk di alivelovearts ini udh sepatu ke lima beli disini cm baru pertama kali beli via tokped sepatu ternyaman belinya disini empuk dn ga cepet rusak ada garansinya lg dpt free pula ,positive
9220,baguuus nyaman dipakainya,positive
9221,pengiriman biasa saja tidak cepat tidak juga lambat,positive
9222,barang sudah sampe yaaa td saya coba pas dan oke ,positive
9223,thankyou alive barang sudah sampai dgn selamat,positive
9224,produknya sesuai dan bagussss seller jg ramah makasii banyakk,positive
9225,selalu puas bli sepatu d sini ,positive
9226,suka dan puas pengiriman cepat dan ada garansi nya guys,positive
9227,sesuai deskripsi dan beneran nyaman dipake tq,positive
9228,selalu suka produknya alive empuk dan enak dipakai udh beli produk disini ,positive
9229,barangnya udh smpe sist kilat oke gosend hahaha tp ternyata ukuran aq bukan hahah depan agak tekuk dikit tp gak sakit sih bahannya halus,positive
9230,suka sama produknya cuma ternyata salah size dan size yang bener belum ready sekarang rencananya mau kirim balik dan nunggu size yang bener ,positive
9231,bagusss aku suka sepatunya thanks,positive
9232,bagus kok gak mengecewakan ada garansi hari jadi bisa dicheck kualitasnya beneran bagus apa enggak semoga sih awet soalnya makenya kan gak grasak grusuk ,positive
9233,kemasan rapih produknya berkualitas ,positive
9234,bagus sepatunya dan nyampenya jg cepet banget puas belanja di alivelovearts next aku order lagi ,positive
9235,sepatuny bagus sesuai dg gambar,positive
9236,terima kasih gan barang telah sampai produk yang dipesan sesuai yang tertera di diskripsi produk ,positive
9237,packing bagus barang sesuai harga cepat sampai,positive
9238,kirain tipis ternyata tebel bahannya bagus ada tali pendek sm tali panjang love lah pokonya,positive
9239,sdh diterima dg baik makasi,positive
9240,barang cepat sampai sesuai dengan gambar,positive
9241,sangat bagus puas sekali belanja disini thankyou,positive
9242,sukaaaa nyaman banget juga spt biasa thank you siiiis love it ,positive
9243,baguss bgttt suka bgttt,positive
9244,pengiriman lama pake kurir sicepat ,positive
9245,respon penjual sangat baik informatif dan koperatif dibungkus dengan rapih dan luar biasa sampai tepat pada waktunya barangnya oke banget hanya kebesaran sedikit sekitar stgah cm karena request gamau cacat dikasi tau ada cacat sedikit yg memang ga keliatan banget efeknya terus ada kartu garansi nya hari luarbiasa puas belanja disini keep it up ,positive
9246,selalu puas belanja di alive super empuk harga terjangkau dan awet,positive
9247,sepatunya cute comfy ga bisa kaki sakit responnya cepet juga ,positive
9248,sznya lebih gede dikit tp gapapa deh soalnya kakiku lebar empuk udah langganan produk ini dr th lalu ,positive
9249,baguuuuusss bangeeett,positive
9250,paket sudah sampai seller cepat respon produk sesuai dan bagus recommend ,positive
9251,mantap seller ny bagus dan cepat thanks ,positive
9252,selalu puas dengan produk alivelovearts terima kasih tokopedia sudah ada gratis ongkirnya,positive
9253,pesannya warna hitam tenyata stok kosong jadi ganti warna cream sama bagusnya ,positive
9254, nya cutting kecil bagi yg panjang kakinya cm seperti saya saya sarankan ambil size di atasnya utk model ini biar lebih nyaman seller responsif pengiriman cepat terima kasih ya ,positive
9255,sukak sama sepatunya terpercaya packaging nya aman dan pengirimannya cepat thankyouuu,positive
9256,bagus walau kegedean dikit,positive
9257,bagus suka banget modelnya juga lucu ,positive
9258,produk sesuai iklan sepatunya nyaman dipakai anget juga xd tp belum dicoba untuk dipakai seharian terima kasih ya semoga semakin sukses ,positive
9259,seller ramah respon juga cepet barang nya juga oke nyaman dipake nya,positive
9260,pesan yg krem tp habis jd ganti brown seller info dgn baik szny aga gede tp nyaman thx,positive
9261,respon cepat kualitas produk sangat baik,positive
9262,bagus tp ternyata ada perbedaan warna waktu di foto sama aslinya sy kita biru gelap atau dongker aslinya biru terang sy kasih ke adik deh tp kualitas bagus sesuai dgn harga,positive
9263,warna sesuai foto dipakai berjam tungkai belakang agak sakit tapi teratasi dengan pake kaos kaki ,positive
9264,brg sesuai gambar fast respon thx alive ,positive
9265,sesuai fhoto brgnya bagus banget,positive
9266,sepatunya empuk sekali bahannya bagus,positive
9267,brg bagus recomended seller pengiriman cepat,positive
9268,sepatunya baguus respon n pengiriman jg cepat makasih yaa,positive
9269,kualitas bagus sendalnya enak dipakai,positive
9270,lumyan sesuai harga taliny terlalu panjang,positive
9271,sukaaa packaging rapi dan cepat sampaii,positive
9272,h smpe sist modelnya sih imut tp pas dipake agak sakit di lingkar atas nya dan packingnya kurang rapih kedepan diperbaiki sist terima kasih dan sukses selalu ,negative
9273,brg bagus banget sesuai fhoto pengiriman cepat,positive
9274,tenkyu recomend seller barangnya pun berkualitas,positive
9275,sukaaa bgt sama sepatunya alive sudah dua kali beli disini selalu puas seneng krn alive ada di tokped yeayyy,positive
9276,terimakasih untuk seller yg sangat bertanggung jawab meskipun sedih warnanya beda tetapi salut sama seller dan adminnya yg cepat tanggap,positive
9277,kualitasnya baguss ringan harga juga gak mahal semoga sepatunya bisa awett ,positive
9278,setelah dari thn lalu ngeceng sepatu di alivelovearts akhirnya kemaren memberanikan siri beli sepatu online barang oke pastinya warna di web agak terangan dikit sih tapi u suka aja warnanya size nya juga cocok setelah nanya sama miminnya tq ya kak ,positive
9279,sepatunya bagus di pakenya juga nyaman next order lg siist makasih,positive
9280,barangnya sudah sampe sist cuma kok ukuran kaya ukuran rada sempit over all suka sih makasih sist ,positive
9281,sepatunya sukaaaak banget respon dan pengirimannya juga cepat packing okeh punya ,positive
9282,good service good product sepatunya enak banget dipakenya thankyouuuuuuuuuuuu,positive
9283,first buy and cant wait for next repurchase sepatunya enak banget dipakai bawahnya empuk dan semoga aweeett i love it sist cuma mungkin beberapa hal yg kemarin aku suggest sist perlu ditulis mengenai pengiriman dan proses order berapa lama thanks a lot ,positive
9284,suka banget walaupun kurang gede karna gaada tapi enaaak dipake enteeeng tapi bagussssssss sukaaaaakkkk,positive
9285,bagus banget sepatunya ,positive
9286,kereennn bagus bgt lope deh,positive
9287,suka banget nyaman dipake jatuh cinta ama alive ,positive
9288,sesuai gambar dan deskripsi barangnya bagus udah x beli ini heheh makasih yaah,positive
9289,terima kasih kak barangnga sudah sampai bagus dan sesuai ukuran recommended,positive
9290,waaaaaa sumpah keren gak nyesel pesen di alive pelayanannya top bgt barangnya juga oke thnkyou alive ,positive
9291,pengiriman lama pake kurir sicepat,positive
9292,ini order kedua suka banget service memuaskan dan nyaman dipakai toplah thanks alivelovearts tokopedia ,positive
9293,thank you sepatunya udah sampe tp agak kekecilan padahal udah x beli tp tiap sepatu sizenya beda sepertinya sebelumnya dengan size yg sama sepatunya agak kegedean skrg agak kekecilan ,positive
9294,baguuuus nyaman dipakainya,positive
9295,sepatunya bagus tapi hak karetnya kurang awet tapi kalau untuk keseluruhan lumayan bagus,positive
9296,kualitas brg bagus sesuai dgn yg dideskripsikan mantap dan istri suka brgnya terima kasih ,positive
9297,baguus nyaman dipakainya,positive
9298,sepatunya bagus sesuai dg harganya,positive
9299,ukuran pas dg deskripsi no cm insole fit dg kaki puas,positive
9300,selalu puas ini kali ke belanja dengan produk yang sama dan ga pernah nyesel top banget lah pokoknya,positive
9301,barang sudah sampai dan diterima dengan baik pelayanan cepat packingan aman produk bagus terima kasih ,positive
9302,barang sudah sampai sesuai dengan fotonay bagus dan enak dipakai terima kasih ,positive
9303,prosuk bagus dan cepat sampai terima kasih,positive
9304,nyaman dipakai tidak sakit saat jalan recommended shoe,positive
9305,recomended penjual ramah nyaman dipake,positive
9306,sepatunya nyaman di kaki,positive
9307,mksih brangnya udah sampai bhannya bgus puas bngt ,positive
9308,sepatunya bagus bgt harga ga mahal tp kualitas bagus suka bgt thanks alive ,positive
9309,bagussss sukaaaa packaging nya rapiii,positive
9310,maaf baru kasih ulasan pas banget cantik heels nya suka banget nti belanja lagi respon juga cepet seller ramah,positive
9311,mantap fast response fast delivery empuk dipakenya emang dr dulu alive selalu bagus kualitasnya ada kartu garansinya juga loh hr makasih ya,positive
9312,terima kasihhhhhhh ,positive
9313,respon penjual sangat baik krna barang sisa sebelum dikirim ditanyakan dl dan dikirimkan gambarnya pengiriman sangat cepat barang sesuai foto ,positive
9314,ringan nyaman dan empuk ,positive
9315,produk selalu kereeen dan mantab nyaman di kaki respon dan pengiriman juga cepat thx ya,positive
9316,barang sdh sampe suka banget sama produknya sesuai review makasih,positive
9317,warna green segar bnget sesuai yg dimau ,positive
9318,makasih yaaaa respon cepat barang sesuai pesanan,positive
9319,sudah pernah beli yang ukuran kecil via line kualitasnya sangat sangat baik produk dikirimkan dengan tutorial penggunaan yang sangat efektif membersihkan kotoran saya coba menggunakan produk dengan dicampurkan sedikit air untuk membersihkan sepatu bahan kanvas busa yang dihasilkan banyak dan efektif juga membersihkan kotoran di lapisan bawah sol sepatu tanpa membuat karet solnya menjadi kesat dan kering highly recommended buat pemalas seperti saya yang tetap ingin sepatu bersih dalam waktu singkat ,positive
9320,sampai dgn slmt smg bgs,positive
9321,belom dicoba buntangnya utk sellernya deh baikkk sekali thanks ya semoga sukses,positive
9322,sudah coba bersih cocok untuk suede dan sneakers sukses selalu ,positive
9323,lumayaannnnnnnnnnnnnnnnn,negative
9324,pembersihnya bagus irit sepatuku yg buteknya parah banget setidaknya jd lbh layak thankss,positive
9325,diterima dengan packaging bagus produk ok,positive
9326,sudah sampai dan hasilnya lumayan ,negative
9327,produk sesuai iklan harum dan membersihkan kotoran dengan baik terima kasih ya semoga semakin sukses ,positive
9328,barang oke asal jgn dipake saat produk yg ingin dibersihkan sudah sangat kotor ,positive
9329,tq yah cpt bgt responnyaa,positive
9330,blm di coba thanks ,positive
9331,belum dicoba tapi overall dari kecepatan proses puas,positive
9332,produk sesuai deskripsi berguna memudahkan banget thank u ya ,positive
9333,baru dicoba bisa bersih tanpa harus basahin sepatu yeaaayyy,positive
9334,bagus dan empuk dipakai,positive
9335,bagus dan sukaa ,positive
9336,pengiriman cepat barang sesuai gambar ,positive
9337,pokoknya bagus di rsmayana ini official terimakasih ,positive
9338,biarkan bintang yang berbicara rekomended ,positive
9339,good pokokny tambah maju gan,positive
9340,saya senang sekali belanja di sini,positive
9341,selalu puas dengan produk dari bodypack,positive
9342,selalubpuas dengan produk bodypack,positive
9343,kondisi barang bagus sesuai dengan etalase lebih baik ditiap produk yang dipajang diberi keterangan yang lebih detail biar tidak harus dm dl tanya ukuran dsb overall good ,positive
9344,barangnya sesuai prosesnya cepat,positive
9345,produk ori ga kecewa dah belanja di sini ,positive
9346,barang sudah sapai terima kasih,positive
9347,kualitas produk bagus namun respon toko rada lama,positive
9348,barang sesuai keterangan pelayanan cepat mantap ,positive
9349,pengeriman cepat dan barang bagus banget top ,positive
9350,barangnya udah sampe dengan selamat packing rapi dan cepet banget pengirimannya keren juga barangnya mantap deh recommended pokoknya thanks ya gan,positive
9351,tasnya keren dan sesuai dgn gambar,positive
9352,sesuai deskripsi n great condition,positive
9353,warna ukuran sesuai deskripsi mantap produknya,positive
9354,mantab qualitas bagus ,positive
9355,nice produk original sesuai pict recomended seller,positive
9356,barang bagus sayang kurir nya lama kirim jadi ambil sendiri,positive
9357,mantap oriiii sesuai dan puasss,positive
9358,tasnya ternyata agak besar sangat bagus modelnya pun juga bagus dan keren terima kasih toko eiger official shop muntap betul dah ,positive
9359,barang bagus rspon bagus,positive
9360,barang udh nyampe min kualitas oke cm response aja yg agak lama,positive
9361,everything perfect recommended seller ,positive
9362,barang mantap bagus cepat maruh lagi,positive
9363,good quality warna ga norak keren deeh,positive
9364,mantap sesaui foto n layaman memuaskan ,positive
9365,mantap pokonya ,positive
9366,sukaaak lah pokoknya next repeat order,positive
9367,barang rekomended cuma sayang di kurir nya lambat kalau bisa tambah lagi pilihan kurir nya biar semakin joss,positive
9368,terima kasih banyak pak,positive
9369,barang ori bagus packing rapi sesuai harga saran untuk respon sangat kurang mohon diperbaiki,positive
9370,it s a fine looking jacket increase the handsome level of the person who wears it thanks ,positive
9371,ok sesuai harapan bagus ,positive
9372,ok sipp cuma ternyata gak pake risleting di bagian yg utama,positive
9373,saya kira tidak besar lebih dari yg saya harapkan okelah gpp thanks,positive
9374,produk okeeeeee pengiriman lama ,positive
9375,barang sesuai deskripsi admin juga sudah cukup responsif semoga sukses selalu,positive
9376,terimakasih barang sudah sampai meskipun warna tidak sesuai,positive
9377,puas sesuai deskripsi,positive
9378,bagusssss lah mudahan awet ,positive
9379,barang sampai di sorong papua barat dengan baik packing bagus kondisi barang bagus pengiriman dari jakarta ke sorong tepat waktu,positive
9380,tas dikemas pake bubble wrap amp kardus barang sesuai pesanan waktu respon amp pengiriman cepet,positive
9381,barang telah sampai respon cepat ,positive
9382,tas bagus ori minii banget tas nya pengiriman dari sellernya lamaaaaaaa banget padahal pakai grab sameday mungkin tokonya kebanjiran orderan beli jumat hari minggu baru dikirim hehew,positive
9383,respon dan cepet dikirim tp pihak ekspedisi lama shngga nyampe barangnya bahannya bagus cuma warna di pict lbh muda dr aktuall,positive
9384,hiks salah pilih ukuran ternyata kecil harusnya pilih yang l overall puas barang bagus seller agak slow respon,positive
9385,produk bagus sesuai ekspetasi ttp pengiriman delay hari,positive
9386,semuanya oke cuma pas no resi sudah diup sayang barangnya gak ada info dan stak ditangerang terus sampe harian baru jalan lagi tapi oke lah semuanya puas mungkin kesalahan dari pihak jne nya makasih brother,positive
9387,bagusbtas nya bahannya bagus ,positive
9388,official store tidak diragukan lagi packing aman ,positive
9389,luar biasa saya merasa di prioritaskan saya kira harus menunggu po selama hari tapi ternyata gak lama setelah transaksi pesanan saya diproses dan cepat dikirim padahal sudah menjelang liburan lebaran seller sangat ramah dan responsif sekali mengutamakan kepuasan pelanggan barang telah saya terima dengan sangat amat baik packing super aman tanpa cacat penyok jam berfungsi dan sudah di settingkan seller sesuai dengan harapan saya dan saya sangat puas saya pasti akan membeli produk lagi dikemudian hari sukses selalu dan maju terus ,positive
9390,mantap broo cakep bener pokoknya uhuuuy ,positive
9391,produk sesuai dgn keterangan,positive
9392,bagus jam nya keren juga semua berfungsi sesuai deskripsi thank you eiger thank you tokopedia recommended ,positive
9393,jamnya keren fungsi berjalan dengan baik pengiriman juga relatif cepat ,positive
9394,bagusssss ,positive
9395,produk sesuai dengan harapan,positive
9396,barang ok harga ok pengiriman kilat,positive
9397,mantap pengiriminnya sangat cepa dan barang nya kualitas terbaiikk,positive
9398,sedaaaapppppp gurihhhhh,positive
9399,sangat puas sekali untuk produk bodypack ini sudah sangat terpecaya,positive
9400,barang sesuai dengan pesanan dan pengiriman cepat terima kasih,positive
9401,deskripsi sesuai produk sampai tanpa cacat mantappp,positive
9402,sepatunya pas dan enak banget dipakenya semoga tahan lama puas banget,positive
9403,paket telah diterima dgn baik thanks ,positive
9404,sepatunya comfy sekalii ,positive
9405,design nya lucu bgt trus enak dipakai ,positive
9406,bagus produk lembut rapih langgananku nihh,positive
9407,pesanan sesuai dengan gambar pengiriman cepatttttt,positive
9408,cuka cuka cuka produkx murah tp gak murahan,positive
9409,thanks yaa cepat sampai baguss enteng good ,positive
9410,dipkainya nyaman cepat smpnya pdhal hujan deras ,positive
9411,nyobain yg aga tinggi depan lbh kecil dr ukuran biasa tp enakkk ga pegel untung bs gojek dusnya cantik,positive
9412,sepatunya lucu nyaman bahan bludru tp bagian bibir tumitnya ada yg kebuka dikit jd kelihatan sponnya mudahan kedepannya bagian qcnya bisa lbh teliti sblm kirim ,positive
9413,dipakenya enak banget recommended seller ,positive
9414,bagus n pas banget buat ukuran kakiku biasanya susah nyari heels yg pas puas deh pokoknya thanks,positive
9415,pelayanan baik dan pengiriman cepat,positive
9416,can t wait to get another alive s,positive
9417,ok lah utk hrg rb an mah,positive
9418,mantap dan cepat ,positive
9419,good quality kereeeennn bangeeettr bahan enak nyaman,positive
9420,bahan bagus tp ternyata tangannya sya kira tgn pendek ,positive
9421,puas sesuai pesanan,positive
9422,terima kasih banyak gans barang sdh di terima,positive
9423,okeee tetapi harus di update stok nya biar gak kecewa,positive
9424,orderan yg kesekian kalinya tetap puas,positive
9425,bagus mantab kain halus dan toppp,positive
9426,produk bagus sesuai harga tks ,positive
9427,kualitas produk baik ukuran dan warna sesuai dengan yang dipesan barang sesuai foto dan deskripsi ,positive
9428,barangnya bagus bngt trimaksih,positive
9429,sesuai deskripsi thanks ,positive
9430,mantap top markotop lain kali order lagi,positive
9431,mantappp gan proses cepat,positive
9432,kualitas cukup bagus ,positive
9433,kualitas produk baik sayangnya warna sama ukuran yang dipesan habis awalnya pesan warna hitam ukuran m dikasih warna abu ukuran l penjual responsif ,positive
9434,mantapppp sering aja diskon ,positive
9435,produknya bagus semoga selalu memberikan produk yg terbaik amp kualitas yg terbaik,positive
9436,kok size xlnya kecil ya ,negative
9437,barang sudah di terima dengan baik ya,positive
9438,makasiiiiiiiiiiiiiiiiiiiiiii,positive
9439,barang sudah sampai kualitas sesuai harga,positive
9440,klo promo worth it lah harga pass di kantong pakai kode promoo ,positive
9441,baaaaguuuiiiissssssss,positive
9442,utk yg kesekian kalinya order d sini tdk pernah kecewa sesuai pesanan n kwalitasnya bgus ,positive
9443,barang oke barang bagus,positive
9444,pengiriman cepat respon cepat kwalitas bagus enak adeeem,positive
9445,terima kasi barang telah diterima ,positive
9446,bajunya bagus saya suka warna abu abu mudanya bagus,positive
9447,sudah smpe trmksh ,positive
9448,bagus recommended seller,positive
9449,lumayan bagus susuai harganya bahan dan kualitasnya ,negative
9450,barang sudah diterima dan dan sesuai dengan pesanan,positive
